Company Name,Filed Date,Form Type,State,CIK,Category
Amesite Inc.  (AMST)  (CIK 0001807166),2026-04-20,N/A,['DE'],N/A,Software/Tech
"X-Energy, Inc.  (XE)  (CIK 0002088896)",2026-04-08,N/A,['DE'],N/A,Software/Tech
BARFRESH FOOD GROUP INC.  (BRFH)  (CIK 0001487197),2026-04-15,N/A,['DE'],N/A,Software/Tech
Elmet Group Co.  (ELMT)  (CIK 0002101698),2026-04-14,N/A,['DE'],N/A,Software/Tech
"DEEP FISSION, INC.  (CIK 0001918102)",2026-04-21,N/A,['DE'],N/A,Software/Tech
General Catalyst Global Resilience Merger Corp.  (CIK 0002108962),2026-04-13,N/A,['E9'],N/A,Software/Tech
INTEGRATED RAIL & RESOURCES INC.  (CIK 0002044112),2026-04-08,N/A,['DE'],N/A,Software/Tech
GMR Solutions Inc.  (GMRS)  (CIK 0001898718),2026-04-28,N/A,['DE'],N/A,Software/Tech
Akston Biosciences Corp  (CIK 0001776612),2026-04-10,N/A,['DE'],N/A,Software/Tech
GMR Solutions Inc.  (CIK 0001898718),2026-04-17,N/A,['DE'],N/A,Software/Tech
